"Frequency / Hz","Vm3:Measured voltage","Vm4:Measured voltage","Vm5:Measured voltage"
14400,2.4572421938876252e-10,1.0956425711423242e-10,2.0874598228711002e-10
14450,2.1985966533574634e-10,3.0260384319426657e-10,1.1005374156901517e-10
14500,0.0010757822237596338,0.0010757822945399237,0.0010757821656967109
14550,6.6424013030156457e-11,1.7844064007708787e-10,1.4935249765283117e-10
14600,0.04647455718051885,0.046474557227400459,0.046474557303758199
14650,1.3903310655833516e-10,4.2065887287926573e-11,1.0156821889315028e-10
14700,1.0044351912453535e-10,6.7224801813781942e-11,1.6617881725595496e-10
14750,1.7993182999024728e-10,9.3968825129584796e-11,2.53926356012675e-10
14800,16.171545220753682,16.171545220903429,16.171545220802798
14850,9.6080327344994371e-11,1.5857100243797149e-11,1.0855217181522259e-10
14900,70.491768647937846,70.491768648122587,70.491768647719809
14950,2.0948084366578293e-10,1.2656696896672047e-10,1.178682789863922e-10
15000,2.1716223657961665e-10,1.7103612354051329e-10,3.16935829884805e-10
15050,1.7634943342531672e-10,1.4903152971626341e-11,1.6271762961278654e-10
15100,70.49176864784782,70.491768647795439,70.491768647893522
15150,6.7054213369946938e-11,1.8446483565820522e-10,1.3855852625080729e-10
15200,16.171545221056412,16.171545220964568,16.171545221246316
15250,4.8332358143568912e-11,1.9034916531518536e-10,2.1535551328645568e-10
15300,1.37786137701237e-10,8.9358530967978637e-11,8.8528112163433065e-11
15350,3.4314495350420933e-11,1.2837150156227954e-10,1.0465893860958567e-10
15400,0.04647455733264557,0.046474557454050165,0.046474557456924498
15450,3.5884516957164962e-11,1.2219016726455208e-10,1.4979382875411647e-10
15500,0.0010757824028037538,0.0010757821474616674,0.0010757822997952164
15550,3.3860296923795117e-11,1.643525233307135e-10,1.3393560079732521e-10
15600,7.2847362034280899e-11,9.0597703439510904e-11,5.7281850748760617e-11
15650,1.4360742512474857e-10,1.7128163661303406e-10,6.5620441334331609e-11
15700,1.8779651863338418e-07,1.8787940574893192e-07,1.878373770811783e-07
